,Var1,Var2,value
189,CsrB,Xenorhabdus,NA
190,FnrS,Xenorhabdus,NA
191,GlmZ,Xenorhabdus,62
192,MicA,Xenorhabdus,NA
193,STnc870,Xenorhabdus,84
194,SdsR,Xenorhabdus,74.6666666666667
195,SroG,Xenorhabdus,59.25
196,SraG,Xenorhabdus,63.8
197,STnc700,Xenorhabdus,82.2
198,Spf,Xenorhabdus,94
199,GlmY,Xenorhabdus,69.4
200,GcvB,Xenorhabdus,76.8
201,STnc3800,Edwardsiella,NA
202,STnc1310,Edwardsiella,NA
203,STnc1280,Edwardsiella,NA
204,STnc2080,Edwardsiella,NA
205,STnc1920,Edwardsiella,NA
206,STnc1740,Edwardsiella,NA
207,STnc2160,Edwardsiella,NA
208,STnc400,Edwardsiella,NA
209,STnc4130,Edwardsiella,NA
210,STnc3170,Edwardsiella,NA
211,STnc1400,Edwardsiella,NA
212,STnc4100,Edwardsiella,NA
213,IsrB‑1,Edwardsiella,NA
214,IsrB‑2,Edwardsiella,NA
215,STnc1480,Edwardsiella,NA
216,STnc1080,Edwardsiella,NA
217,STnc1390,Edwardsiella,NA
218,IsrF,Edwardsiella,NA
219,STnc3300,Edwardsiella,NA
220,IsrJ,Edwardsiella,NA
221,STnc3060,Edwardsiella,NA
222,IsrC,Edwardsiella,NA
223,STnc780,Edwardsiella,NA
224,STnc750,Edwardsiella,NA
225,STnc1710,Edwardsiella,NA
226,STnc3920,Edwardsiella,NA
227,STnc4070,Edwardsiella,NA
228,STnc290,Edwardsiella,NA
229,STnc3200,Edwardsiella,NA
230,STnc2050,Edwardsiella,NA
231,STnc500,Edwardsiella,NA
232,STnc3760,Edwardsiella,NA
233,STnc1700,Edwardsiella,NA
234,IsrP,Edwardsiella,NA
235,STnc3530,Edwardsiella,NA
236,STnc1150,Edwardsiella,NA
237,STnc3630,Edwardsiella,NA
238,STnc3890,Edwardsiella,NA
239,STnc1760,Edwardsiella,NA
240,STnc380,Edwardsiella,NA
241,STnc1890,Edwardsiella,NA
242,STnc3280,Edwardsiella,NA
243,IsrD,Edwardsiella,NA
244,STnc4110,Edwardsiella,NA
245,IsrH_1_2,Edwardsiella,NA
246,STnc070,Edwardsiella,NA
247,STnc3180,Edwardsiella,NA
248,STnc3500,Edwardsiella,NA
249,STnc3420,Edwardsiella,NA
250,STnc3990,Edwardsiella,NA
251,STnc3030,Edwardsiella,NA
252,STnc3740,Edwardsiella,NA
253,STnc950,Edwardsiella,NA
254,STnc4260,Edwardsiella,NA
255,STnc470,Edwardsiella,NA
256,STnc310,Edwardsiella,NA
257,STnc1990,Edwardsiella,NA
258,STnc3330,Edwardsiella,NA
259,IsrO,Edwardsiella,NA
260,STnc760,Edwardsiella,NA
261,STnc1690,Edwardsiella,NA
262,IsrQ,Edwardsiella,NA
263,STnc4210,Edwardsiella,NA
264,STnc3230,Edwardsiella,NA
265,STnc440,Edwardsiella,NA
266,STnc3750,Edwardsiella,NA
267,sRNA1,Edwardsiella,NA
268,STnc2030,Edwardsiella,NA
269,InvR,Edwardsiella,NA
270,STnc890,Edwardsiella,NA
271,STnc1600,Edwardsiella,NA
272,STnc1880,Edwardsiella,NA
273,STnc3620,Edwardsiella,NA
274,STnc3580,Edwardsiella,NA
275,STnc1870,Edwardsiella,NA
276,STnc3050,Edwardsiella,NA
277,STnc3090,Edwardsiella,NA
278,STnc4160,Edwardsiella,NA
279,STnc340,Edwardsiella,NA
280,STnc980,Edwardsiella,NA
281,STnc3610,Edwardsiella,NA
282,STnc3350,Edwardsiella,NA
283,sRNA9,Edwardsiella,NA
284,STnc3640,Edwardsiella,NA
285,RseX,Edwardsiella,NA
286,STnc3970,Edwardsiella,NA
287,STnc1010,Edwardsiella,NA
288,STnc3480,Edwardsiella,NA
289,STnc150,Edwardsiella,NA
290,STnc3830,Edwardsiella,NA
291,STnc740,Edwardsiella,NA
292,STnc1510,Edwardsiella,NA
293,STnc540,Edwardsiella,NA
294,STnc1500,Edwardsiella,NA
295,STnc1650,Edwardsiella,NA
296,STnc2110,Edwardsiella,NA
297,STnc3010,Edwardsiella,NA
298,RyjB,Edwardsiella,NA
299,STnc3040,Edwardsiella,NA
300,STnc810,Edwardsiella,NA
301,IsrK,Edwardsiella,48
302,RybD,Edwardsiella,NA
303,STnc1210,Edwardsiella,NA
304,STnc1470,Edwardsiella,NA
305,STnc3150,Edwardsiella,NA
306,STnc3340,Edwardsiella,NA
307,STnc3720,Edwardsiella,NA
308,STnc1200,Edwardsiella,81
309,STnc480,Edwardsiella,NA
310,STnc1160,Edwardsiella,73
311,STnc350,Edwardsiella,NA
312,STnc4000,Edwardsiella,NA
313,STnc3250,Edwardsiella,NA
314,STnc3570,Edwardsiella,NA
315,STnc4170,Edwardsiella,NA
316,STnc3730,Edwardsiella,NA
317,RydC,Edwardsiella,NA
318,STnc1030,Edwardsiella,NA
