"","rvs","rvs_p","rvm","rvm_p","mvs","mvs_p"
"CP011972_ncRNA_2433675_2433899_rev",-2.75469488357302,0.0612701039358277,-0.973088986368334,0.749414395748626,-1.78160589720469,0.291469065693164
"CP011972_ncRNA_2537900_2538235_fwd",0.80116073308244,NA,1.24539277941434,0.713972119012494,-0.444232046331895,0.829002004239509
"CP011972_ncRNA_2569431_2569763_fwd",-0.375188253929901,0.766046279987475,-0.206558840843387,0.922389960398674,-0.168629413086514,0.875057560335902
"CP011972_ncRNA_2622176_2622307_fwd",-0.4617166126906,NA,-0.777222869627637,0.770986201700716,0.315506256937037,0.846916721063714
"CP011972_ncRNA_2653071_2653331_rev",1.15857538272401,0.355131010676605,0.02371785122305,0.995471259180305,1.13485753150096,0.371130845532704
"CP011972_ncRNA_2730713_2730964_fwd",2.24129771788473,NA,-0.0860269615966899,0.983579443725256,2.32732467948142,0.173844221931636
"CP011972_ncRNA_2898578_2898736_fwd",-1.45515328828982,0.109902604576331,-1.08121823240441,0.533316112253884,-0.373935055885408,0.750513512718361
"CP011972_ncRNA_290612_290857_fwd",-0.482402447811466,0.698708239765293,-0.680548665021416,0.706072924840504,0.19814621720995,0.8657417571196
"CP011972_ncRNA_3131669_3131911_fwd",-0.419637860576554,NA,-0.437632961746869,0.923659717349872,0.0179951011703154,0.994835105947189
"CP011972_ncRNA_3188204_3188377_fwd",0.12292192715285,0.934877702294793,-0.770593925178824,0.690574664074447,0.893515852331673,0.391649124488395
"CP011972_ncRNA_320205_320563_fwd",-2.35349343271612,0.0750932914780636,1.13213297967884,0.675511958338353,-3.48562641239497,0.0135303471308937
"CP011972_ncRNA_3219768_3219971_rev",-0.102900650183033,0.951809949032755,-0.35978328502972,0.823320630116138,0.256882634846687,0.781300296150997
"CP011972_ncRNA_322030_322306_fwd",-1.12461663688933,0.192314126719395,-0.168775570205742,0.940459655336844,-0.955841066683589,0.306223454699162
"CP011972_ncRNA_3260267_3260449_fwd",-0.18989202516041,0.893928814250396,-0.823095299818309,0.644791226860734,0.633203274657899,0.536191069979475
"CP011972_ncRNA_3285249_3285470_rev",0.138209736460823,0.870607033660312,-0.739546037338694,0.344095741601888,0.877755773799517,0.090483594923037
"CP011972_ncRNA_3397111_3397361_rev",1.24645810788101,0.252203333192487,-2.19693169930283,0.176737625895925,3.44338980718384,0.00293401090737616
"CP011972_ncRNA_3532451_3532642_fwd",-0.630857829596904,0.573490333036987,0.864920786942872,0.598465311702442,-1.49577861653978,0.121410011212078
"CP011972_ncRNA_3536734_3537003_rev",0.00944458359921078,0.994903529520385,-1.40570744621744,0.176737625895925,1.41515202981665,0.0634078102864701
"CP011972_ncRNA_3765999_3766298_rev",-3.39309433176327,0.0184367848157691,0.596128500821147,0.863031630138177,-3.98922283258442,0.0112540489937373
