"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IYO_002945",258.718922894293,1.76654964147202,0.322060811165112,5.48514311654752,4.131348099607e-08,2.67617504403273e-07
"IYO_002950",33.3306041358114,-0.200024140993027,0.309341305397623,-0.646613101783864,0.517882376355018,0.603469908505036
"IYO_002955",4.01721040107351,-0.0341310394881756,0.677684112251428,-0.0503642314629218,0.95983213935318,0.97235246895265
"IYO_002960",22.8209040691388,0.0253350841007938,0.358164097723697,0.0707359678477277,0.943607894319315,0.95947417060176
"IYO_002965",7.32881994631401,1.6229593924901,0.495015476487692,3.27860333580995,0.00104322161302186,0.00271274927266345
"IYO_002970",6.6166548624842,2.47073213897763,0.543671184485071,4.54453391955607,5.50569413383304e-06,2.32659200188554e-05
"IYO_002980",26.8401293807054,0.681022581613361,0.317977093245438,2.1417347226572,0.032214834911583,0.057149647661079
"IYO_002985",413.343488456566,-0.0440405425197339,0.232238460251629,-0.189635009085128,0.849595151681229,0.890467567086434
"IYO_002990",267.117144341942,-1.27627941191731,0.295881878962336,-4.31347609523519,1.60707523669112e-05,6.26565459238088e-05
"IYO_002995",522.005340141959,-1.5422003154673,0.378292102741909,-4.07674467505198,4.56705945812473e-05,0.00016159723155664
"IYO_003000",351.374045898752,-1.45910353109945,0.368544969324844,-3.95909224801646,7.52351751313324e-05,0.000254295766263196
"IYO_003005",2025.54692385663,-2.62619831511302,1.10398960412791,-2.37882522198889,0.0173679086559613,0.0333299019552134
"IYO_003010",247.735974173773,-1.15659928353352,0.206697241200118,-5.59562032283603,2.19834321915996e-08,1.48868015202019e-07
"IYO_003015",293.813661741175,0.251699692958146,0.286322262989591,0.879078316614507,0.379358813669648,0.466493857853518
"IYO_003020",42.2342482886709,-0.437722205937356,0.315941753935229,-1.38545222492844,0.165914231326256,0.23083546606669
"IYO_003025",154.998559270848,-0.229816117609076,0.222147811189641,-1.03451893754149,0.300893628275636,0.383165112889531
"IYO_003030",644.769575477355,-0.769120267239129,0.420270446009057,-1.83006032078343,0.0672409194180411,0.108169366220892
"IYO_003035",358.766272732377,-0.67371005856263,0.341830618349637,-1.97088856994529,0.0487366228044999,0.0815360755978649
"IYO_003040",468.965697985799,0.184368829469733,0.173343572630865,1.06360349375253,0.287508359039135,0.369109716294559
"IYO_003050",186.008180582962,-0.588984781223622,0.157036379187713,-3.75062634702995,0.00017639339423404,0.000549882301318012
"IYO_003055",186.370944475821,-1.21252078754052,0.520923836973359,-2.32763544587523,0.0199314696108414,0.0375093363721334
"IYO_003060",537.918567605761,-0.842125744467935,0.333465939946121,-2.52537259008821,0.0115575681610241,0.0231988868159687
"IYO_003065",341.778456278087,-1.53673099976283,0.467179818454362,-3.28937796338682,0.00100409088528421,0.00262507715941493
"IYO_003070",625.121660944455,-1.42271132403465,0.521577740845544,-2.72770713283941,0.00637762030088323,0.0137249786497365
"IYO_003075",395.001279284579,-1.40819418470186,0.303664317459929,-4.63733834940181,3.52924429026859e-06,1.55292088021879e-05
"IYO_003080",435.87072476077,-1.55312766411926,0.389023116431095,-3.99237885493202,6.54137533915262e-05,0.000223698885054972
"IYO_003085",295.505213818391,-0.48622570292866,0.17996158487987,-2.70183052262643,0.00689589023847694,0.0147205113824662
"IYO_003090",347.292131970811,-0.580279166743149,0.149200317122948,-3.88926228799481,0.000100549402228481,0.00033176169754003
"IYO_003095",58.995695108208,-0.8243734778861,0.261565434866786,-3.15169119461809,0.00162327849061387,0.0040630856195787
"IYO_003100",1127.38094676143,-1.38025093145225,0.239953464339757,-5.75216088356997,8.8109887388912e-09,6.35111790509667e-08
"IYO_003105",367.314185065245,-0.589610762450897,0.264811956798198,-2.22652620969156,0.0259789554063272,0.0473877653178442
"IYO_003110",117.254155250482,-0.812886414336507,0.325668463544065,-2.4960550539353,0.0125583109025531,0.0249493492213632
"IYO_003115",352.645847379819,1.13918562951253,0.154266340246944,7.3845378563396,1.52983824942832e-13,2.08409112340153e-12
"IYO_003120",165.021418720573,-0.00450679505105264,0.286186469684113,-0.0157477572438248,0.987435626940397,0.990671445655794
"IYO_003125",440.746027680512,-0.939314395085371,0.166092727190318,-5.65536138141109,1.55518701886752e-08,1.08732246259043e-07
"IYO_003130",1.35907825601585,4.90876706972366,3.39156039467163,1.44734768027002,0.14779957131522,0.209592907445304
"IYO_003135",72.9872903235863,0.407580124892426,0.259112912285409,1.57298268657288,0.115722827205849,0.17251657761569
"IYO_003140",83.6741259044297,-0.232156118407543,0.284430844347646,-0.816212879232568,0.414378391916378,0.501861150484607
"IYO_003145",1461.66401572993,-0.0385424208213343,0.186120274457474,-0.207083408477032,0.83594471936767,0.87932919214498
"IYO_003150",608.177640299123,0.507736143328615,0.148231892498857,3.42528274293286,0.000614159908616296,0.00167490304192264
"IYO_003155",622.284377595929,1.4932543438072,0.271849598991977,5.49294297046681,3.95290469869212e-08,2.5720410103235e-07
"IYO_003160",472.937661619523,-0.990482652370838,0.290608773813246,-3.40830264473485,0.000653683508799138,0.00177356711345685
"IYO_003165",18.910682079976,0.963162602371071,0.333722022557413,2.8861223930925,0.00390020451598004,0.00886230065213121
"IYO_003170",1354.71824477812,-1.92936794162757,0.30604782051794,-6.30413880537494,2.89800695012586e-10,2.55033380164632e-09
"IYO_003175",176.519834830798,-1.75495278633398,0.322836668381741,-5.4360392056172,5.44779728349885e-08,3.4709569329806e-07
"IYO_003180",138.568504302146,-0.458882749966067,0.213560170950374,-2.14872814497185,0.0316559562689927,0.0562955358045645
"IYO_003190",277.685484070346,0.614045288528087,0.305903182236079,2.00731906101651,0.0447157008442408,0.0758120757245551
"IYO_003195",762.427393877528,1.07935282942484,0.372935193360834,2.89421017013138,0.00380113643368302,0.00867492316914511
"IYO_003200",1807.26919520751,-0.700184163969712,0.427103838783176,-1.63937689243099,0.101134791050507,0.154166949565199
"IYO_003205",30.1984667645723,0.815846153948865,0.305989231362743,2.66625773173599,0.00767008665221101,0.0161188201069044
"IYO_003210",1552.71177119351,-0.251689101588655,0.31046343751705,-0.810688381219874,0.417544647352058,0.505380194266942
"IYO_003215",574.599756443461,-0.173766661810442,0.340929002381229,-0.509685772101415,0.6102716223938,0.686614142376173
"IYO_003220",81.5893271484139,-0.00403042499707585,0.423942810694682,-0.00950700164126268,0.992414624436016,0.994808869609565
"IYO_003225",4337.85407376876,3.62683776862695,0.27660185117399,13.1121239906148,2.8062752039783e-39,2.33201469450597e-37
"IYO_003230",723.317929356942,-0.885123068248827,0.219530970791972,-4.0318824494589,5.53318629253494e-05,0.000192388192849228
"IYO_003235",846.025634961057,-2.23829201062636,0.311571986055718,-7.18386796888116,6.77663102498373e-13,8.42300484451504e-12
"IYO_003240",121.11722018367,0.888644996708222,0.201687733438691,4.4060438458859,1.05275662509265e-05,4.23505206650342e-05
"IYO_003245",272.399193045777,0.16121960617041,0.18931883992691,0.851577192384298,0.394448802828035,0.481331799045664
"IYO_003250",737.248878884129,0.569786102519896,0.200598735915096,2.84042718375385,0.00450531572420028,0.0100809390300587
"IYO_003255",394.576133290939,0.51659239128439,0.3380057565797,1.5283538260171,0.126424712479567,0.185429287063449
"IYO_003260",747.024898703322,1.4297011942924,0.409992760850085,3.4871376541577,0.000488219998026633,0.0013746252316171
"IYO_003265",680.066496226814,0.962370027410612,0.377875759257619,2.54678953024481,0.0108718982279056,0.0219818672199259
"IYO_003270",273.951712188928,-1.03207111335987,0.278972455943299,-3.69954485244824,0.000215986468114183,0.000658487046656291
"IYO_003275",920.580075208021,1.46497197822543,0.39417994257896,3.71650563608261,0.000201997137156673,0.000620717034780964
