#Position (bp)	mapping quality
3901321.5	239.36686879429845
3923807.5	212.6950909695843
3946293.5	175.46349763074983
3968779.5	233.29734375981886
3991265.5	221.70626802562785
4013751.5	190.6467326451162
4036237.5	243.78460637581728
4058723.5	242.7458510757353
4081209.5	242.4138532603588
4103695.5	240.89052596217647
4126181.5	243.7254305245225
4148667.5	238.43914187096988
4171153.5	243.94601879064484
4193639.5	155.30947039621415
4216125.5	197.12147617236363
4238611.5	203.1422167669631
4261097.5	225.36022892785655
4283583.5	232.71144553556337
4306069.5	243.5982268304881
4328555.5	195.00133542861275
4351041.5	244.1463811333521
4373527.5	244.59079599412166
4396013.5	193.50846803126277
4418499.5	242.91206477093652
4440985.5	243.11855140242017
4463471.5	187.36118421725305
4485957.5	105.54235850717008
4508443.5	184.9858568326718
4530929.5	243.6038988698603
4553415.5	242.10239533260548
4575901.5	241.8308964852027
4598387.5	243.2513862527039
4620873.5	244.18499765398468
4643359.5	237.24202697310176
4665845.5	181.679074004572
4688331.5	243.81972389393118
4710817.5	228.49508693712187
4733303.5	241.3066251127843
4755789.5	198.78199335950004
4778275.5	244.03118234386494
4800761.5	242.28147863871564
4823247.5	238.94384252847289
4845733.5	242.63820674047722
4868219.5	209.14024124827534
4890705.5	243.26515574174084
4913191.5	150.49285645471528
4935677.5	147.65570863902406
4958163.5	171.59858692786034
4980649.5	166.4893374300706
5003135.5	175.94412108004533
5025621.5	183.61561483686788
5048107.5	212.4831071044232
5070593.5	241.9870124184628
5093079.5	219.88766875782952
5115565.5	244.034557994159
5138051.5	241.14093876979123
5160537.5	220.06759974345957
5183023.5	242.9902170370821
5205509.5	188.10518456597114
5227995.5	209.72778520836357
5250481.5	207.22959934096346
5272967.5	243.78961737395758
5295453.5	243.09482943483735
5317939.5	243.85505964578184
5340425.5	242.616530330738
5362911.5	147.2132061929908
5385397.5	158.01603154483024
5407883.5	143.41402514960197
5430369.5	144.25597312184343
5452855.5	188.99163865991804
5475341.5	242.92655096130062
5497827.5	243.50249965654464
5520313.5	243.20647856024462
5542799.5	207.3973610068935
5565285.5	243.31554955398175
5587771.5	229.94209138893817
5610257.5	243.4625331985984
5632743.5	239.80122546433302
5655229.5	217.01861208368678
5677715.5	243.29018939698022
5700201.5	242.44503881879194
