#Coverage	Number of genomic locations
469.0	524.0
470.0	535.0
471.0	507.0
472.0	487.0
473.0	515.0
474.0	511.0
475.0	487.0
476.0	498.0
477.0	473.0
478.0	438.0
479.0	508.0
480.0	480.0
481.0	456.0
482.0	473.0
483.0	466.0
484.0	501.0
485.0	482.0
486.0	451.0
487.0	477.0
488.0	467.0
489.0	464.0
490.0	445.0
491.0	435.0
492.0	391.0
493.0	380.0
494.0	351.0
495.0	332.0
496.0	316.0
497.0	300.0
498.0	272.0
499.0	265.0
500.0	225.0
501.0	208.0
502.0	181.0
503.0	186.0
504.0	173.0
505.0	188.0
506.0	156.0
507.0	147.0
508.0	124.0
509.0	128.0
510.0	131.0
511.0	116.0
512.0	121.0
513.0	114.0
514.0	96.0
515.0	103.0
516.0	104.0
517.0	116.0
518.0	98.0
519.0	99.0
520.0	111.0
521.0	115.0
522.0	97.0
523.0	106.0
524.0	110.0
525.0	93.0
526.0	102.0
527.0	97.0
528.0	91.0
529.0	85.0
530.0	89.0
531.0	105.0
532.0	109.0
533.0	100.0
534.0	116.0
535.0	118.0
536.0	132.0
537.0	126.0
538.0	111.0
539.0	101.0
540.0	125.0
541.0	97.0
542.0	106.0
543.0	89.0
544.0	77.0
545.0	87.0
546.0	81.0
547.0	73.0
548.0	65.0
549.0	72.0
550.0	67.0
551.0	69.0
552.0	54.0
553.0	71.0
554.0	65.0
555.0	58.0
556.0	46.0
557.0	69.0
558.0	71.0
559.0	45.0
560.0	69.0
561.0	56.0
562.0	68.0
563.0	43.0
564.0	55.0
565.0	45.0
566.0	47.0
567.0	52.0
568.0	43.0
569.0	52.0
570.0	39.0
571.0	41.0
572.0	57.0
573.0	61.0
574.0	52.0
575.0	57.0
576.0	64.0
577.0	56.0
578.0	68.0
579.0	76.0
580.0	83.0
581.0	66.0
582.0	84.0
583.0	92.0
584.0	83.0
585.0	84.0
586.0	88.0
587.0	93.0
588.0	76.0
589.0	76.0
590.0	100.0
591.0	76.0
592.0	96.0
593.0	90.0
594.0	84.0
595.0	97.0
596.0	100.0
