#Position (bp)	mapping quality
8943630.5	242.03009569415926
8969002.5	244.63921749160224
8994374.5	243.2916814107473
9019746.5	245.35727005838453
9045118.5	244.5011422326448
9070490.5	243.38897596935595
9095862.5	244.48724262357882
9121234.5	244.95293820748952
9146606.5	168.0143003118079
9171978.5	237.55770700544767
9197350.5	184.17251059416117
9222722.5	167.25568144904787
9248094.5	236.90192578509178
9273466.5	196.39596807377714
9298838.5	178.62410054181842
9324210.5	160.18428557928846
9349582.5	196.8093242740649
9374954.5	183.24858688342403
9400326.5	244.24719306399749
9425698.5	202.9733021597203
9451070.5	228.09315641360686
9476442.5	228.91137106201057
9501814.5	241.3378191244868
9527186.5	243.87374078992315
9552558.5	182.9773523409324
9577930.5	206.12215154136064
9603302.5	235.7810271797573
9628674.5	178.68766055479676
9654046.5	209.60410042019907
9679418.5	241.18311752361558
9704790.5	208.99793671813208
9730162.5	243.7195320892337
9755534.5	243.8686057185406
9780906.5	244.20554898492404
9806278.5	242.05075474147037
9831650.5	234.83900773752939
9857022.5	244.3108917433833
9882394.5	244.63556463347282
9907766.5	243.94379181469597
9933138.5	243.71060334282956
9958510.5	242.82911723347644
9983882.5	243.55181695063325
1.00092545E7	244.43701876923592
1.00346265E7	243.92913160461978
1.00599985E7	244.17004905025775
1.00853705E7	243.6949014812603
1.01107425E7	244.4793117378057
1.01359835E7	164.40177934464273
