#Coverage	Number of genomic locations
283.0	360.0
284.0	287.0
285.0	267.0
286.0	226.0
287.0	231.0
288.0	216.0
289.0	206.0
290.0	191.0
291.0	176.0
292.0	150.0
293.0	156.0
294.0	154.0
295.0	145.0
296.0	129.0
297.0	112.0
298.0	111.0
299.0	126.0
300.0	88.0
301.0	98.0
302.0	108.0
303.0	108.0
304.0	129.0
305.0	109.0
306.0	112.0
307.0	127.0
308.0	134.0
309.0	146.0
310.0	145.0
311.0	158.0
312.0	150.0
313.0	177.0
314.0	170.0
315.0	170.0
316.0	143.0
317.0	167.0
318.0	207.0
319.0	203.0
320.0	209.0
321.0	223.0
322.0	267.0
323.0	260.0
324.0	302.0
325.0	317.0
326.0	348.0
327.0	382.0
328.0	424.0
329.0	383.0
330.0	423.0
331.0	385.0
332.0	362.0
333.0	332.0
334.0	363.0
335.0	318.0
336.0	299.0
337.0	288.0
338.0	283.0
339.0	288.0
340.0	270.0
341.0	237.0
342.0	265.0
343.0	220.0
344.0	239.0
345.0	209.0
346.0	216.0
347.0	182.0
348.0	178.0
349.0	200.0
350.0	190.0
351.0	155.0
352.0	175.0
353.0	206.0
354.0	153.0
355.0	150.0
356.0	143.0
357.0	150.0
358.0	147.0
359.0	143.0
360.0	148.0
361.0	162.0
362.0	117.0
363.0	133.0
364.0	107.0
365.0	122.0
366.0	99.0
367.0	107.0
368.0	89.0
369.0	113.0
370.0	101.0
371.0	98.0
372.0	114.0
373.0	122.0
374.0	136.0
375.0	139.0
376.0	166.0
377.0	198.0
378.0	200.0
379.0	214.0
380.0	217.0
381.0	222.0
382.0	252.0
383.0	233.0
384.0	270.0
385.0	288.0
386.0	291.0
387.0	291.0
388.0	310.0
389.0	340.0
390.0	329.0
391.0	314.0
392.0	299.0
393.0	287.0
394.0	299.0
395.0	311.0
396.0	346.0
397.0	281.0
398.0	298.0
399.0	283.0
400.0	282.0
401.0	302.0
402.0	270.0
403.0	315.0
404.0	363.0
405.0	345.0
406.0	375.0
407.0	401.0
408.0	381.0
409.0	412.0
410.0	441.0
411.0	437.0
412.0	427.0
413.0	412.0
414.0	440.0
415.0	469.0
416.0	461.0
417.0	502.0
418.0	511.0
419.0	489.0
420.0	527.0
421.0	520.0
422.0	516.0
423.0	553.0
424.0	529.0
425.0	555.0
426.0	501.0
427.0	497.0
428.0	508.0
429.0	484.0
430.0	473.0
431.0	442.0
432.0	423.0
433.0	425.0
434.0	419.0
435.0	436.0
436.0	431.0
437.0	431.0
438.0	424.0
439.0	414.0
440.0	414.0
441.0	401.0
442.0	394.0
443.0	439.0
444.0	420.0
445.0	424.0
446.0	422.0
447.0	407.0
448.0	402.0
449.0	405.0
450.0	420.0
451.0	446.0
452.0	385.0
453.0	410.0
454.0	380.0
455.0	306.0
456.0	291.0
457.0	283.0
458.0	263.0
459.0	261.0
460.0	219.0
461.0	231.0
462.0	210.0
463.0	202.0
464.0	225.0
465.0	178.0
466.0	209.0
467.0	177.0
468.0	193.0
469.0	187.0
470.0	186.0
471.0	201.0
472.0	206.0
473.0	199.0
474.0	198.0
475.0	216.0
476.0	184.0
477.0	181.0
478.0	188.0
479.0	151.0
480.0	169.0
481.0	156.0
482.0	127.0
483.0	128.0
484.0	136.0
485.0	117.0
486.0	119.0
487.0	115.0
488.0	88.0
489.0	87.0
490.0	112.0
491.0	106.0
492.0	103.0
493.0	111.0
494.0	102.0
495.0	129.0
496.0	120.0
497.0	136.0
498.0	146.0
499.0	158.0
500.0	144.0
501.0	158.0
502.0	160.0
503.0	154.0
504.0	114.0
505.0	124.0
506.0	128.0
507.0	120.0
508.0	93.0
509.0	87.0
510.0	76.0
511.0	77.0
512.0	83.0
513.0	78.0
514.0	72.0
515.0	61.0
516.0	71.0
517.0	77.0
518.0	56.0
519.0	56.0
520.0	62.0
521.0	54.0
522.0	62.0
523.0	67.0
524.0	74.0
525.0	79.0
526.0	68.0
527.0	64.0
528.0	64.0
529.0	63.0
530.0	64.0
531.0	52.0
532.0	66.0
533.0	68.0
534.0	67.0
535.0	62.0
536.0	64.0
537.0	67.0
538.0	66.0
539.0	88.0
540.0	114.0
541.0	112.0
542.0	125.0
543.0	92.0
544.0	86.0
545.0	128.0
546.0	127.0
547.0	126.0
548.0	134.0
549.0	122.0
550.0	109.0
551.0	115.0
552.0	109.0
553.0	102.0
554.0	93.0
555.0	85.0
556.0	88.0
557.0	81.0
558.0	76.0
559.0	88.0
560.0	66.0
561.0	90.0
562.0	64.0
563.0	96.0
564.0	72.0
565.0	69.0
566.0	85.0
567.0	100.0
568.0	89.0
569.0	88.0
570.0	98.0
571.0	116.0
572.0	116.0
573.0	97.0
574.0	114.0
575.0	100.0
576.0	92.0
577.0	90.0
578.0	82.0
579.0	89.0
580.0	84.0
581.0	54.0
582.0	67.0
583.0	70.0
584.0	61.0
585.0	62.0
586.0	71.0
587.0	73.0
588.0	66.0
589.0	84.0
590.0	63.0
591.0	99.0
592.0	68.0
593.0	93.0
594.0	95.0
595.0	109.0
596.0	103.0
597.0	109.0
598.0	109.0
599.0	90.0
600.0	93.0
601.0	90.0
602.0	81.0
603.0	90.0
604.0	52.0
605.0	37.0
606.0	40.0
607.0	39.0
608.0	22.0
609.0	13.0
610.0	9.0
611.0	14.0
612.0	9.0
613.0	5.0
616.0	1.0
