IsrJ,555,542,501,394,1617,330,452,489,690,1539,461,666,707,597,818,504,491,844,1398,976
STnc1160,3574,4283,3108,9763,35063,3177,1268,4475,4953,5347,402,6466,4979,6467,5695,9900,13195,7649,9432,6988
IsrK,753,962,763,677,228,543,1100,559,1032,953,252,1478,571,524,995,807,1468,650,394,765
STnc1390,958,2465,1511,4071,1462,1382,1683,2720,2452,3150,323,2774,2483,2335,2226,2234,1604,1651,4309,3452
STnc1400,599,1566,1125,1191,52,728,1221,2442,1578,1035,97,1665,825,866,782,967,1314,1012,1281,908
STnc3160,39,70,244,141,545,63,96,52,79,81,90,103,288,199,102,75,81,73,31,191
STnc2090,17,110,322,2639,3170,76,116,149,44,451,444,367,34779,15431,292,216,377,641,4080,1367
sRNA3,318,393,435,720,175,588,2462,1974,420,1362,623,599,768,674,533,920,860,849,931,2084
STnc3790,20,8,17,16,15,13,42,26,5,43,19,11,46,40,26,19,19,26,101,77
STnc3800,108,127,118,80,174,72,100,121,201,273,144,192,218,108,122,103,146,276,341,265
STnc4230,162,220,196,125,26,479,229,515,279,88,228,268,81,160,176,205,190,146,71,200
IsrL,17,8,20,16,2,3,11,10,14,11,21,14,17,17,17,17,13,10,8,17
STnc3070,112,190,124,363,375,102,86,655,162,563,341,323,962,384,170,173,183,317,738,575
IsrM,3,1,2,1,0,2,3,1,0,4,1,3,6,4,2,2,1,5,1,3
IsrN,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0
STnc3080,18,27,3,0,48,5,29,38,16,49,117,549,19,6,5,12,1,2,135,31
MicA,752,754,345,1078,18120,599,14612,1872,772,11798,643,542,4489,12373,617,370,1389,29599,3861,3135
C0664,1,0,1,0,0,3,0,0,3,2,0,1,4,2,1,2,2,1,0,87
STnc4240,469,355,293,90,26,654,581,536,280,485,312,426,239,149,193,256,86,54,12,155
STnc3020,9,16,8,10,8,8,19,10,9,39,5,17,26,12,5,17,321,312,95,75
STnc1410,49,48,56,50,216,68,104,112,33,180,49,65,101,83,53,56,38,67,101,126
InvR,794,1005,9616,36416,11480,917,1074,1824,1012,1882,1167,1084,1171,12351,19069,2006,301,500,1567,2045
STnc3140,112,57,53,93,214,50,66,59,297,311,64,71,47,20,58,3106,1201,1261,113,288
CsrB,4260,7093,7296,8211,814,8588,5253,6973,1691,3751,3577,7964,10762,9476,5380,4609,729,1483,3108,4120
GcvB,14905,25850,15800,6382,97,27471,15008,27484,18689,3835,41397,14085,22539,35321,20045,50,41,483,392,188
STnc3830,52,46,57,66,78,84,65,198,53,249,77,55,195,34,44,45,27,56,259,110
OmrA,476,501,864,651,1914,750,572,1048,2104,1501,1457,1006,1403,1255,504,160,834,1595,953,545
OmrB,1720,1949,3140,1019,405,2228,2618,3051,8307,5476,4768,4221,4890,1731,856,255,2934,4781,3477,1657
STnc290,300,403,881,1579,868,166,599,773,346,853,311,451,999,636,358,1071,504,924,1648,1742
IsrO,74,60,56,34,35,60,141,107,48,129,67,74,68,49,64,29,32,72,26,48
SsrS,19711,38335,36247,64900,103519,24674,14421,39179,38374,55093,1900,39515,75257,66217,42346,34288,52693,46479,49451,46086
RygC,1713,2774,4024,6261,4403,651,1002,3769,2497,1481,376,3636,1960,4333,6638,6101,7066,5719,2599,5219
STnc3030,58,54,157,90,23,110,209,265,27,47,175,54,126,44,30,59,48,37,19,32
STnc750,504,720,683,476,744,633,706,434,560,347,691,591,551,525,609,217,335,389,307,470
STnc3150,13,39,10,14,6,35,67,50,25,108,74,77,69,19,20,19,32,134,28,76
STnc3850,43,47,55,39,5,105,60,69,66,27,57,82,73,31,28,32,35,29,19,40
STnc3860,17,18,13,34,70,9,17,160,11,30,24,26,40,30,20,9,14,13,36,25
STnc3870,6,22,23,48,64,25,27,15,12,87,21,15,94,79,46,55,58,36,137,137
STnc3880,6,12,113,106,34,8,43,68,10,60,33,22,18,14,30,50,36,155,77,200
STnc1170,9,6,27,186,15,3,26,12,10,33,11,17,380,548,49,14,18,11,5,32
STnc3890,101,92,135,250,216,113,240,223,189,481,45,210,100,127,153,208,152,166,564,946
STnc1820,274,207,176,115,205,244,504,272,399,739,105,266,289,235,177,114,148,133,536,217
STnc3920,1,1,0,2,602,1,2,0,3,9,1,3,1,1,2,0,1,3,5,2
SroG,565,639,462,299,10,822,818,490,700,472,477,714,587,591,310,506,644,401,191,266
STnc1420,43,140,153,155,51,70,125,273,172,86,42,89,278,187,62,104,97,113,201,150
RygD,2168,2975,3551,7784,4245,856,1277,4197,2418,3582,393,4656,4630,6747,6410,7089,6692,4684,5743,5897
SraF,1199,1210,1959,1697,467,1515,8204,1106,961,3072,371,1402,472,454,1433,1853,317,708,233,1157
