gene,EEP,MEP,LEP,ESP,LSP,25�C,NaCl_shock,Bile_shock,Low_Fe2+_shock,Anaerobic_shock,Anaerobic_growth,Oxygen_shock,NonSPI2,InSPI2,Peroxide_shock_(InSPI2),Nitric_oxide_shock_(InSPI2),Macrophage
STnc3950,76,82,45,37,33,32,84,34,83,96,59,53,30,46,62,93,23
STnc1660,221,235,244,151,18,232,379,152,190,124,116,245,275,69,34,57,368
STnc3960,56,61,66,44,61,69,87,61,109,108,114,105,72,66,76,122,23
STnc3970,100,182,117,150,30,45,151,30,245,318,242,112,106,253,386,507,24
ArcZ,3731,4024,21037,34984,58540,6095,10017,16633,6533,11472,11929,7526,15990,14878,17520,21946,2669
STnc3060,55,86,46,62,12,66,337,153,159,98,77,64,104,61,88,136,61
STnc3050,21,41,38,117,64,18,75,9,39,68,65,52,94,215,141,92,259
STnc2100,45,37,15,21,5,96,77,50,27,31,38,44,34,35,47,149,35
STnc3990,69,60,61,54,24,60,133,107,82,67,66,79,51,51,54,126,38
STnc1670,3,2,19,97,10,3,16,43,1,440,173,6,5,5,59,14,46
STnc4000,117,76,12,9,236,38,100,324,535,7,6,39,76,8,338,65,46
STnc1590,1392,1810,1551,1708,846,1779,3827,813,2497,2278,1885,1586,2064,1779,992,2133,1083
STnc340,32,12,28,19,48,38,62,16,30,21,15,13,17,19,21,23,10
STnc760,72,87,159,187,30,86,193,167,123,146,152,226,274,2142,3589,3362,157
STnc4010,6,6,12,19,80,4,91,5,9,18,26,31,6,5,18,32,8
RyhB‑1,204,100,34,27,3508,64,43,1102,20042,56,24,27,101,24,16361,856,5012
STnc1830,13,12,21,19,15,9,67,7,16,21,14,21,44,56,76,161,11
sRNA12,0,2,11,20,47,9,16,1,10,20,11,18,4,14,10,34,23
STnc770,244,220,314,480,182,150,701,317,204,901,742,293,205,159,352,282,125
STnc350,125,92,100,90,21,93,246,141,147,298,169,108,9,19,38,41,22
STnc4020,61,113,110,46,4,81,99,68,236,127,77,73,51,177,21,161,14
STnc1430,165,316,451,617,72,140,189,201,350,711,529,326,259,353,342,243,280
STnc710,5738,10554,13662,12767,9545,9967,16182,710,10743,13367,17570,12748,10762,13853,6344,23370,1448
STnc780,207,233,177,147,49,233,635,255,159,154,105,112,179,95,119,273,165
STnc380,52,23,13,11,18,27,138,21,23,9,28,154,24,85,192,104,23
AmgR,1,2,3,4,6,2,18,2,3,3,2,4,3,5,4,8,3
STnc4040,37,48,58,82,25,28,68,92,58,409,56,50,89,64,17,125,44
IstR‑1_2,273,183,176,138,298,210,618,51,180,180,300,190,166,256,1033,535,103
STnc2110,79,169,34,62,10,49,1500,195,585,68,42,100,93,68,89,897,175
RNaseP,1464,1101,791,191,5,1133,568,598,923,105,78,551,825,312,48,63,384
STnc4250,529,610,426,141,18,466,119,460,430,233,155,252,367,298,151,86,95
STnc3170,5,5,9,50,15,6,17,27,7,34,18,19,24,123,186,48,125
STnc400,18970,32031,92094,99808,146912,97710,28280,8578,52683,82932,191872,123481,37315,29752,98063,125653,8235
STnc1860,80,312,206,399,92,230,563,55,403,455,205,340,140,800,255,203,146
GlmZ,3803,4681,5062,1674,527,3153,2425,1956,4017,2172,4063,3908,3711,7743,2857,2438,1740
STnc790,35,113,706,214,402,13,305,72,101,86,28,85,61,32,82,71,95
Spf,19498,15501,1153,708,428,25609,14091,14055,14752,3764,3687,8462,15232,17262,25620,27148,2470
CsrC,5190,4132,10431,14849,3331,2651,3225,8171,4250,7891,10545,7078,6302,2480,2875,3447,2394
STnc800,316,1521,282,223,8,896,490,1190,955,680,160,331,1826,2724,3555,2674,224
STnc3120,43,38,91,79,301,26,311,50,68,105,74,132,33,55,153,194,13
STnc870,926,1282,2102,4903,18885,1218,5113,1220,765,502,987,2388,2276,46,74,75,3756
IsrP,65,45,70,21,5,53,37,58,65,17,24,35,60,57,19,26,36
STnc4070,28,33,33,31,8,24,65,27,52,130,71,32,12,21,52,112,8
STnc4080,9,9,5,4,72,14,7,5,9,7,10,7,28,40,474,23,4
STnc1600,55,76,140,253,61,105,131,189,95,381,157,76,128,96,160,253,112
OxyS,91,98,65,42,74,52,131,2128,113,113,1210,3668,41,75,20927,428,631
STnc3490,122,41,43,9,25,52,311,35,58,55,26,64,51,27,85,69,7
STnc1460,2139,8379,5458,5272,142,2677,6301,326,6746,5037,2218,2449,5655,7285,5218,2969,1662
STnc4100,62,37,58,66,14,106,43,21,71,87,104,68,55,100,65,165,26
STnc810,11,404,218,398,14,59,140,215,179,1752,49,13,56,24,32,51,22
STnc2130,84,1143,1264,1288,366,358,494,239,818,4471,2861,1215,227,463,498,512,164
STnc880,1031,1312,5226,2704,3029,9342,374,3282,1032,1062,1230,1094,1172,286,223,432,516
SraL,10,23,136,511,2066,12,373,16,53,216,772,355,61,820,630,666,496
