gene,Inheritance_type,percentage,HGT_annotations,Total_annotations
STnc870,Vertical,3.84,87,2266
STnc880,Vertical,0.00,0,1720
STnc890,Vertical,0.00,0,468
STnc920,Vertical,0.00,0,461
STnc950,Divergence,0.00,0,391
STnc980,Vertical,0.39,3,761
t44,Vertical,0.00,0,381
tp2,Divergence,0.07,1,1404
tpke11,Vertical,7.47,83,1111
tpke70,Vertical,1.37,19,1390
