#Coverage	Number of genomic locations
499.0	451.0
500.0	506.0
501.0	462.0
502.0	445.0
503.0	488.0
504.0	478.0
505.0	443.0
506.0	432.0
507.0	367.0
508.0	367.0
509.0	339.0
510.0	385.0
511.0	280.0
512.0	299.0
513.0	294.0
514.0	287.0
515.0	225.0
516.0	214.0
517.0	188.0
518.0	179.0
519.0	174.0
520.0	176.0
521.0	203.0
522.0	199.0
523.0	172.0
524.0	189.0
525.0	214.0
526.0	204.0
527.0	208.0
528.0	258.0
529.0	225.0
530.0	236.0
531.0	239.0
532.0	256.0
533.0	253.0
534.0	229.0
535.0	244.0
536.0	231.0
537.0	237.0
538.0	224.0
539.0	252.0
540.0	234.0
541.0	261.0
542.0	240.0
543.0	259.0
544.0	236.0
545.0	256.0
546.0	257.0
547.0	293.0
548.0	291.0
549.0	281.0
550.0	268.0
551.0	256.0
552.0	286.0
553.0	295.0
554.0	282.0
555.0	303.0
556.0	292.0
557.0	310.0
558.0	299.0
559.0	303.0
560.0	290.0
561.0	305.0
562.0	298.0
563.0	347.0
564.0	279.0
565.0	283.0
566.0	276.0
567.0	288.0
568.0	292.0
569.0	269.0
570.0	244.0
571.0	259.0
572.0	251.0
573.0	256.0
574.0	292.0
575.0	264.0
576.0	295.0
577.0	279.0
578.0	282.0
579.0	291.0
580.0	289.0
581.0	290.0
582.0	275.0
583.0	284.0
584.0	327.0
585.0	337.0
586.0	297.0
587.0	306.0
588.0	289.0
589.0	290.0
590.0	275.0
591.0	258.0
592.0	282.0
593.0	248.0
594.0	246.0
595.0	270.0
596.0	264.0
597.0	240.0
598.0	235.0
599.0	236.0
600.0	227.0
601.0	220.0
602.0	247.0
603.0	224.0
604.0	216.0
605.0	230.0
606.0	207.0
607.0	200.0
608.0	194.0
609.0	185.0
610.0	175.0
611.0	185.0
612.0	196.0
613.0	187.0
614.0	186.0
615.0	188.0
616.0	196.0
617.0	177.0
618.0	171.0
619.0	153.0
620.0	162.0
621.0	150.0
622.0	124.0
623.0	112.0
624.0	99.0
625.0	97.0
626.0	108.0
627.0	66.0
628.0	82.0
629.0	74.0
630.0	68.0
631.0	55.0
632.0	48.0
633.0	51.0
634.0	53.0
635.0	34.0
636.0	38.0
637.0	25.0
638.0	29.0
639.0	32.0
640.0	39.0
641.0	29.0
642.0	36.0
643.0	26.0
644.0	35.0
645.0	21.0
646.0	23.0
647.0	20.0
648.0	18.0
649.0	17.0
650.0	17.0
651.0	18.0
652.0	13.0
653.0	7.0
654.0	19.0
655.0	17.0
656.0	16.0
657.0	30.0
658.0	22.0
659.0	19.0
660.0	24.0
661.0	21.0
662.0	17.0
663.0	34.0
664.0	36.0
665.0	23.0
666.0	27.0
667.0	30.0
668.0	24.0
669.0	21.0
670.0	28.0
671.0	21.0
672.0	15.0
673.0	18.0
674.0	14.0
675.0	17.0
676.0	10.0
677.0	14.0
678.0	11.0
679.0	13.0
680.0	16.0
681.0	10.0
682.0	7.0
683.0	6.0
684.0	11.0
685.0	8.0
686.0	13.0
687.0	14.0
688.0	16.0
689.0	9.0
690.0	15.0
691.0	14.0
692.0	14.0
693.0	7.0
694.0	12.0
695.0	18.0
696.0	14.0
697.0	25.0
698.0	18.0
699.0	17.0
700.0	19.0
701.0	21.0
702.0	24.0
703.0	25.0
704.0	17.0
705.0	26.0
706.0	19.0
707.0	17.0
708.0	22.0
709.0	18.0
710.0	32.0
711.0	27.0
712.0	19.0
713.0	37.0
714.0	29.0
715.0	29.0
716.0	39.0
717.0	46.0
718.0	37.0
719.0	37.0
720.0	28.0
721.0	39.0
722.0	51.0
723.0	42.0
724.0	50.0
725.0	35.0
726.0	53.0
727.0	47.0
728.0	35.0
729.0	38.0
730.0	34.0
731.0	35.0
732.0	40.0
733.0	38.0
734.0	37.0
735.0	42.0
736.0	33.0
737.0	28.0
738.0	42.0
739.0	28.0
740.0	25.0
741.0	30.0
742.0	26.0
743.0	34.0
744.0	43.0
745.0	30.0
746.0	32.0
747.0	30.0
748.0	30.0
749.0	30.0
750.0	36.0
751.0	36.0
752.0	40.0
753.0	37.0
754.0	33.0
755.0	43.0
756.0	40.0
757.0	49.0
758.0	42.0
759.0	44.0
760.0	51.0
761.0	38.0
762.0	38.0
763.0	45.0
764.0	51.0
765.0	49.0
766.0	40.0
767.0	36.0
768.0	54.0
769.0	59.0
770.0	42.0
771.0	61.0
772.0	43.0
773.0	54.0
774.0	50.0
775.0	58.0
776.0	67.0
777.0	61.0
778.0	57.0
779.0	67.0
780.0	64.0
781.0	53.0
782.0	73.0
783.0	49.0
784.0	62.0
785.0	53.0
786.0	86.0
787.0	68.0
788.0	64.0
789.0	57.0
790.0	66.0
791.0	54.0
792.0	75.0
793.0	51.0
794.0	41.0
795.0	36.0
796.0	43.0
797.0	37.0
798.0	29.0
799.0	28.0
800.0	23.0
801.0	23.0
802.0	21.0
803.0	19.0
804.0	17.0
805.0	14.0
806.0	10.0
807.0	17.0
808.0	8.0
809.0	6.0
810.0	7.0
811.0	4.0
812.0	13.0
813.0	5.0
814.0	5.0
815.0	8.0
817.0	6.0
818.0	2.0
819.0	6.0
820.0	2.0
821.0	3.0
822.0	1.0
825.0	1.0
827.0	1.0
